ID,2017/05/31
56868304737,1083
63559353288,1292
83122081556,3368
35383334884,2315
33976132729,2467
13522568363,1197
54273377410,887
86968771269,989
75812675115,1030
33584053126,1809
47846664723,1285
65507834842,1331
58064366677,973
57756974470,336
97817071412,801
94567493649,3554
93078420100,1443
56683287570,355
93528333498,14286
18149800368,401
76707807300,1523
66285118289,57438
54379882917,758
10506339346,3403
62586766141,1055
776745430,1240
25511628116,3160
44863145486,1866
32796185192,1103
44669150454,1160
88654567141,4243
79018143400,4181
33745160390,1728
45840464438,2263
13662928871,111
